
STATUS | wrapper  | 2015/07/16 09:54:37 | --> Wrapper Started as Console
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.hibernate.exception.internal.StandardSQLExceptionConverter.convert(StandardSQLExceptionConverter.java:54)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.hibernate.engine.jdbc.spi.SqlExceptionHelper.convert(SqlExceptionHelper.java:126)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.hibernate.engine.jdbc.spi.SqlExceptionHelper.convert(SqlExceptionHelper.java:112)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.hibernate.engine.jdbc.internal.LogicalConnectionImpl.obtainConnection(LogicalConnectionImpl.java:235)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.hibernate.engine.jdbc.internal.LogicalConnectionImpl.getConnection(LogicalConnectionImpl.java:171)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.hibernate.internal.SessionImpl.connection(SessionImpl.java:450)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.orm.hibernate4.HibernateTransactionManager.doBegin(HibernateTransactionManager.java:429)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	... 30 more
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: Caused by: java.sql.SQLException: Unable to open a test connection to the given database. JDBC url = jdbc:mysql://127.0.0.1:3306/reconciliation2?characterEncoding=UTF-8, username = reconciliation. Terminating connection pool (set lazyInit to true if you expect to start your database after your app). Original Exception: ------
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: com.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:39)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:27)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.lang.reflect.Constructor.newInstance(Constructor.java:513)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.Util.handleNewInstance(Util.java:409)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.SQLError.createCommunicationsException(SQLError.java:1127)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.MysqlIO.<init>(MysqlIO.java:356)
